Besoldungsgruppe,Amtsbezeichnung,Zusatz
B6,Präsidentin/Präsident,des Bundesamts für zentrale Dienste und offene Vermögensfragen und des Bundesausgleichsamts
B6,Präsidentin/Präsident,des Bundeseisenbahnvermögens
B6,Präsidentin/Präsident,des Deutschen Wetterdienstes
B6,Präsidentin/Präsident,des Eisenbahn-Bundesamts
B6,Präsidentin/Präsident,des Kraftfahrt-Bundesamts
B6,Präsidentin/Präsident,des Luftfahrt-Bundesamts
B6,Präsidentin/Präsident,einer Bundespolizeidirektion
B6,Präsidentin und Professorin/Präsident und Professor,der Bundesanstalt für Arbeitsschutz und Arbeitsmedizin
B6,Präsidentin und Professorin/Präsident und Professor,des Bundesamts für Seeschifffahrt und Hydrographie
B6,Präsidentin und Professorin/Präsident und Professor,des Bundesinstituts für Risikobewertung
B6,Präsidentin und Professorin/Präsident und Professor,des Deutschen Archäologischen Instituts
B6,Präsidentin und Professorin/Präsident und Professor,"des Friedrich-Loeffler-Instituts, Bundesforschungsinstitut für Tiergesundheit"
B6,Präsidentin und Professorin/Präsident und Professor,"des Johann Heinrich von Thünen-Instituts, Bundesforschungsinstitut für Ländliche Räume, Wald und Fischerei"
B6,Präsidentin und Professorin/Präsident und Professor,"des Julius Kühn-Instituts, Bundesforschungsinstitut für Kulturpflanzen"
B6,Präsidentin und Professorin/Präsident und Professor,"des Max Rubner-Instituts, Bundesforschungsinstitut für Ernährung und Lebensmittel"
B6,Vizepräsidentin/Vizepräsident,
B7,Direktorin/Direktor,bei der ORG
B7,Direktorin/Direktor,bei der deutschen Rentenversicherung Knappschaft-Bahn-See
B7,Direktorin/Direktor,der ORG
B7,Ministerialdirigentin/Ministerialdirigent,
B7,Oberdirektorin/Oberdirektor,bei der Bundesagentur für Arbeit
B7,Präsidentin/Präsident,der Bundesakademie für Sicherheitspolitik
B7,Präsidentin/Präsident,der Bundesanstalt für den Digitalfunk der Behörden und Organisationen mit Sicherheitsaufgaben
B7,Präsidentin/Präsident,der Bundesanstalt für Landwirtschaft und Ernährung
B7,Präsidentin/Präsident,der Generaldirektion Wasserstraßen und Schifffahrt
B7,Präsidentin/Präsident,des Bildungszentrums der Bundeswehr
B7,Präsidentin/Präsident,des Bundesamts für Bauwesen und Raumordnung
B7,Präsidentin/Präsident,des Bundesamts für den Militärischen Abschirmdienst
B7,Präsidentin/Präsident,des Bundesamts für Justiz
B7,Präsidentin/Präsident,des Bundesarchivs
B7,Präsidentin/Präsident,des Bundesinstituts für Berufsbildung
B7,Präsidentin/Präsident,des Planungsamts der Bundeswehr
B7,Präsidentin und Professorin/Präsident und Professor,der Bundesanstalt für Geowissenschaften und Rohstoffe
B7,Präsidentin und Professorin/Präsident und Professor,des Paul-Ehrlich-Instituts
B7,Vizepräsidentin/Vizepräsident,
B8,Direktorin/Direktor,bei der Deutschen Rentenversicherung Bund
B8,Direktorin/Direktor,der ORG
B8,Erste Direktorin/Erster Direktor,der Deutschen Rentenversicherung Knappschaft-Bahn-See
B8,Präsidentin/Präsident,der Bundesakademie für öffentliche Verwaltung
B8,Präsidentin/Präsident,der Bundesanstalt Technisches Hilfswerk
B8,Präsidentin/Präsident,der Stiftung Preußischer Kulturbesitz
B8,Präsidentin/Präsident,des Bundesamts für die Sicherheit der nuklearen Entsorgung
B8,Präsidentin/Präsident,des Bundesamts für Familie und zivilgesellschaftliche Aufgaben
B8,Präsidentin/Präsident,des Bundesamts für Sicherheit in der Informationstechnik
B8,Präsidentin/Präsident,des Bundesamts für Wirtschaft und Ausfuhrkontrolle
B8,Präsidentin/Präsident,des Bundesamts zur Bekämpfung von Finanzkriminalität
B8,Präsidentin/Präsident,des Bundeskartellamts
B8,Präsidentin/Präsident,des Bundeszentralamts für Steuern
B8,Präsidentin/Präsident,des Deutschen Patent- und Markenamts
B8,Präsidentin/Präsident,des Statistischen Bundesamts
B8,Präsidentin/Präsident,des Umweltbundesamts
B8,Präsidentin und Professorin/Präsident und Professor,der Bundesanstalt für Materialforschung und -prüfung
B8,Präsidentin und Professorin/Präsident und Professor,der Physikalisch-Technischen Bundesanstalt
B8,Präsidentin und Professorin/Präsident und Professor,des Bundesinstituts für Arzneimittel und Medizinprodukte
B8,Präsidentin und Professorin/Präsident und Professor,des Robert-Koch-Instituts
B9,Ministerialdirektorin/Ministerialdirektor,
B9,Präsidentin/Präsident,der Generalzolldirektion
B9,Präsidentin/Präsident,"des Bundesamts für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr"
B9,Präsidentin/Präsident,des Bundesamts für das Personalmanagement der Bundeswehr
B9,Präsidentin/Präsident,"des Bundesamts für Infrastruktur, Umweltschutz und Dienstleistungen der Bundeswehr"
B9,Präsidentin/Präsident,des Bundesamts für Migration und Flüchtlinge
B9,Präsidentin/Präsident,des Bundesamts für Soziale Sicherung
B9,Präsidentin/Präsident,des Bundesamts für Verfassungsschutz
B9,Präsidentin/Präsident,des Bundeskriminalamts
B9,Präsidentin/Präsident,des Bundesnachrichtendienstes
B9,Präsidentin/Präsident,des Bundespolizeipräsidiums
B9,Präsidentin/Präsident,des Bundesverwaltungsamts
B10,Ministerialdirektorin/Ministerialdirektor,
B11,Staatssekretärin/Staatssekretär,
