Besoldungsgruppe,Amtsbezeichnung,Zusatz
A8,Hauptsekretärin/Hauptsekretär,Technische Regierungs-/Technischer Regierungs-
A8,Hauptsekretärin/Hauptsekretär,Zoll-
A8,Hauptwerkmeister/Hauptwerkmeisterin,
A9,Amtsinspektorin/Amtsinspektor,Archiv-
A9,Amtsinspektorin/Amtsinspektor,bei der Bundesagentur für Arbeit
A9,Amtsinspektorin/Amtsinspektor,Bibliotheks-
A9,Amtsinspektorin/Amtsinspektor,Bundesbank-
A9,Amtsinspektorin/Amtsinspektor,Forst-
A9,Amtsinspektorin/Amtsinspektor,Justiz-
A9,Amtsinspektorin/Amtsinspektor,Regierungs-
A9,Amtsinspektorin/Amtsinspektor,Schiffs-
A9,Amtsinspektorin/Amtsinspektor,Steuer-
A9,Amtsinspektorin/Amtsinspektor,Technische/Technischer
A9,Amtsinspektorin/Amtsinspektor,Technische Regierungs-/Technischer Regierungs-
A9,Amtsinspektorin/Amtsinspektor,Zoll-
A9,Betriebsinspektorin/Betriebsinspektor,Bundesbahn-
A9,Betriebsinspektorin/Betriebsinspektor,Bundesfernstraßen-
A9,Betriebsinspektorin/Betriebsinspektor,Lokomotiv-
A9,Betriebsinspektorin/Betriebsinspektor,Post-
A9,Betriebsinspektorin/Betriebsinspektor,Technische Bundesbahn-/Technischer Bundesbahn-
A9,Betriebsinspektorin/Betriebsinspektor,Technische Bundesfernstraßen-/Technischer Bundesfernstraßen-
A9,Betriebsinspektorin/Betriebsinspektor,Technische Post-/Technischer Post-
A9,Inspektorin/Inspektor,Archiv-
A9,Inspektorin/Inspektor,bei der Bundesagentur für Arbeit
A9,Inspektorin/Inspektor,Bibliotheks-
A9,Inspektorin/Inspektor,Brand-
A9,Inspektorin/Inspektor,Bundesbahn-
A9,Inspektorin/Inspektor,Bundesbank-
A9,Inspektorin/Inspektor,Bundesfernstraßen-
A9,Inspektorin/Inspektor,Forst-
A9,Inspektorin/Inspektor,Justiz-
A9,Inspektorin/Inspektor,Post-
A9,Inspektorin/Inspektor,Regierungs-
A9,Inspektorin/Inspektor,Steuer-
A9,Inspektorin/Inspektor,Technische Bundesbahn-/Technischer Bundesbahn-
A9,Inspektorin/Inspektor,Technische Bundesfernstraßen-/Technischer Bundesfernstraßen-
A9,Inspektorin/Inspektor,Technische Post-/Technischer Post-
A9,Inspektorin/Inspektor,Technische Regierungs-/Technischer Regierungs-
A9,Inspektorin/Inspektor,Zoll-
A10,Oberinspektorin/Oberinspektor,Archiv-
A10,Oberinspektorin/Oberinspektor,bei der Bundesagentur für Arbeit
A10,Oberinspektorin/Oberinspektor,Bibliotheks-
A10,Oberinspektorin/Oberinspektor,Brand-
A10,Oberinspektorin/Oberinspektor,Bundesbahn-
A10,Oberinspektorin/Oberinspektor,Bundesbank-
A10,Oberinspektorin/Oberinspektor,Bundesfernstraßen-
A10,Oberinspektorin/Oberinspektor,Forst-
A10,Oberinspektorin/Oberinspektor,Justiz-
A10,Oberinspektorin/Oberinspektor,Post-
A10,Oberinspektorin/Oberinspektor,Regierungs-
A10,Oberinspektorin/Oberinspektor,Steuer-
A10,Oberinspektorin/Oberinspektor,Technische Bundesbahn-/Technischer Bundesbahn-
A10,Oberinspektorin/Oberinspektor,Technische Bundesfernstraßen-/Technischer Bundesfernstraßen-
A10,Oberinspektorin/Oberinspektor,Technische Post-/Technischer Post-
A10,Oberinspektorin/Oberinspektor,Technische Regierungs-/Technischer Regierungs-
A10,Oberinspektorin/Oberinspektor,Zoll-
A11,Amtfrau/Amtmann,Archiv-
A11,Amtfrau/Amtmann,bei der Bundesagentur für Arbeit
A11,Amtfrau/Amtmann,Bibliotheks-
A11,Amtfrau/Amtmann,Brand-
A11,Amtfrau/Amtmann,Bundesbahn-
A11,Amtfrau/Amtmann,Bundesbank-
A11,Amtfrau/Amtmann,Bundesfernstraßen-
A11,Amtfrau/Amtmann,Forst-
A11,Amtfrau/Amtmann,Justiz-
A11,Amtfrau/Amtmann,Post-
A11,Amtfrau/Amtmann,Regierungs-
A11,Amtfrau/Amtmann,Steuer-
A11,Amtfrau/Amtmann,Technische Bundesbahn-/Technischer Bundesbahn-
A11,Amtfrau/Amtmann,Technische Bundesfernstraßen-/Technischer Bundesfernstraßen-
A11,Amtfrau/Amtmann,Technische Post-/Technischer Post-
A11,Amtfrau/Amtmann,Technische Regierungs-/Technischer Regierungs-
A11,Amtfrau/Amtmann,Zoll-
A12,Amtsrätin/Amtsrat,Archiv-
A12,Amtsrätin/Amtsrat,bei der Bundesagentur für Arbeit
A12,Amtsrätin/Amtsrat,Bibliotheks-
A12,Amtsrätin/Amtsrat,Brand-
A12,Amtsrätin/Amtsrat,Bundesbahn-
A12,Amtsrätin/Amtsrat,Bundesbank-
A12,Amtsrätin/Amtsrat,Bundesfernstraßen-
A12,Amtsrätin/Amtsrat,Forst-
A12,Amtsrätin/Amtsrat,Justiz-
A12,Amtsrätin/Amtsrat,Post-
A12,Amtsrätin/Amtsrat,Regierungs-
A12,Amtsrätin/Amtsrat,Steuer-
A12,Amtsrätin/Amtsrat,Technische/Technischer
A12,Amtsrätin/Amtsrat,Technische Bundesbahn-/Technischer Bundesbahn-
A12,Amtsrätin/Amtsrat,Technische Bundesfernstraßen-/Technischer Bundesfernstraßen-
A12,Amtsrätin/Amtsrat,Technische Post-/Technischer Post-
A12,Amtsrätin/Amtsrat,Technische Regierungs-/Technischer Regierungs-
A12,Amtsrätin/Amtsrat,Zoll-
A13,Oberamtsrätin/Oberamtsrat,Archiv-
A13,Oberamtsrätin/Oberamtsrat,bei der Bundesagentur für Arbeit
A13,Oberamtsrätin/Oberamtsrat,Bibliotheks-
A13,Oberamtsrätin/Oberamtsrat,Brand-
A13,Oberamtsrätin/Oberamtsrat,Bundesbahn-
A13,Oberamtsrätin/Oberamtsrat,Bundesbank-
A13,Oberamtsrätin/Oberamtsrat,Bundesfernstraßen-
A13,Oberamtsrätin/Oberamtsrat,Forst-
A13,Oberamtsrätin/Oberamtsrat,Justiz-
A13,Oberamtsrätin/Oberamtsrat,Post-
A13,Oberamtsrätin/Oberamtsrat,Regierungs-
A13,Oberamtsrätin/Oberamtsrat,Steuer-
A13,Oberamtsrätin/Oberamtsrat,Technische/Technischer
A13,Oberamtsrätin/Oberamtsrat,Technische Bundesbahn-/Technischer Bundesbahn-
A13,Oberamtsrätin/Oberamtsrat,Technische Bundesfernstraßen-/Technischer Bundesfernstraßen-
A13,Oberamtsrätin/Oberamtsrat,Technische Post-/Technischer Post-
A13,Oberamtsrätin/Oberamtsrat,Technische Regierungs-/Technischer Regierungs-
A13,Oberamtsrätin/Oberamtsrat,Zoll-
A13,Pfarrerin/Pfarrer,Millitär-
A13,Rätin/Rat,Archiv-
A13,Rätin/Rat,bei der Bundesagentur für Arbeit
A13,Rätin/Rat,Bibliotheks-
A13,Rätin/Rat,Brand-
A13,Rätin/Rat,Bundesbahn-
A13,Rätin/Rat,Bundesbank-
A13,Rätin/Rat,Bundesfernstraßen-
A13,Rätin/Rat,Forst-
A13,Rätin/Rat,Kriminal-
A13,Rätin/Rat,Medizinal-
A13,Rätin/Rat,Medizinal-... bei der Bundesagentur für Arbeit
A13,Rätin/Rat,Medizinal-... in der Bundespolizei
A13,Rätin/Rat,Polizei-
A13,Rätin/Rat,Post-
A13,Rätin/Rat,Regierungs-
A13,Rätin/Rat,Technische Bundesfernstraßen-/Technischer Bundesfernstraßen-
A13,Rätin/Rat,Technische ... bei der Bundesagentur für Arbeit/Technischer ... bei der Bundesagentur für Arbeit
A13,Rätin/Rat,Technische Regierungs-/Technischer Regierungs-
A13,Rätin/Rat,Wissenschaftliche/Wissenschaftlicher
A14,Oberrätin/Oberrat,Archiv-
A14,Oberrätin/Oberrat,bei der Bundesagentur für Arbeit
A14,Oberrätin/Oberrat,Bibliotheks-
A14,Oberrätin/Oberrat,Brand-
A14,Oberrätin/Oberrat,Bundesbahn-
A14,Oberrätin/Oberrat,Bundesbank-
A14,Oberrätin/Oberrat,Bundesfernstraßen-
A14,Oberrätin/Oberrat,Forst-
A14,Oberrätin/Oberrat,Kriminal-
A14,Oberrätin/Oberrat,Medizinal-
A14,Oberrätin/Oberrat,Medizinal-... bei der Bundeagentur für Arbeit
A14,Oberrätin/Oberrat,Medizinal-... in der Bundespolizei
A14,Oberrätin/Oberrat,Polizei-
A14,Oberrätin/Oberrat,Post-
A14,Oberrätin/Oberrat,Regierungs-1
A14,Oberrätin/Oberrat,Technische Bundesfernstraßen-/Technischer Bundesfernstraßen-
A14,Oberrätin/Oberrat,Technische ... bei der Bundesagentur für Arbeit/Technischer ... bei der Bundesagentur für Arbeit
A14,Oberrätin/Oberrat,Technische Regierungs-/Technischer Regierungs-2
A14,Oberrätin/Oberrat,Wissenschaftliche/Wissenschaftlicher
